학교이름,주소,위도,경도,행정동명,행정동_코드
자양고등학교,서울 광진구 뚝섬로37길 28,37.5351178,127.0720196,자양3동,11215840
자운고등학교,서울 도봉구 노해로69길 150,37.65594,127.0498,창4동,11320514
잠신고등학교,서울 송파구 잠실로 24,37.5099173,127.0975342,잠실3동,11710680
잠실고등학교,서울 송파구 올림픽로33길 71,37.5210763,127.1076337,잠실4동,11710690
잠실여자고등학교,서울 송파구 송파대로38길 8,37.500727,127.1122135,송파2동,11710590
잠일고등학교,서울 송파구 백제고분로 21,37.5144002,127.0825057,잠실2동,11710670
장충고등학교,서울 중구 동호로15길 93,37.5536719,127.0069446,다산동,11140625
장훈고등학교,서울 영등포구 영등포로64길 26,37.513058,126.9159772,영등포본동,11560515
재현고등학교,서울 노원구 덕릉로82길 64,37.658586,127.0776331,중계4동,11350624
정신여자고등학교,서울 송파구 올림픽로4길 16,37.50883585,127.0723848,잠실7동,11710720
정암미용고등학교,서울 동대문구 왕산로 225 미주아파트 상가 4층,0,0,전농1동,NaN
정의여자고등학교,서울 도봉구 노해로49길 69,37.6518966,127.0298023,쌍문4동,11320681
중경고등학교,서울 용산구 이촌로84길 34,37.5178676,126.9765702,이촌1동,11170630
중동고등학교,서울 강남구 일원로 7,37.49311185,127.0807535,일원1동,11680730
중산고등학교,서울 강남구 일원로14길 22,37.4853369,127.0822359,일원본동,11680720
중앙고등학교,서울 종로구 창덕궁길 164,37.5848696,126.9868155,가회동,11110600
중앙대학교사범대학부속고등학교,서울 강남구 선릉로 207,37.5290401,127.041123,압구정동,11680545
중앙여자고등학교,서울 서대문구 북아현로11가길 7,37.5631121,126.9542292,충현동,11410565
중화고등학교,서울 중랑구 봉화산로27길 62,37.604736,127.0831384,중화1동,11260600
진관고등학교,서울 은평구 진관4로 26,37.6432684,126.924422,진관동,11380690
진명여자고등학교,서울 양천구 목동로 170,37.512559,126.8704703,신정6동,11470670
진선여자고등학교,서울 강남구 선릉로85길 27,37.502272,127.0475352,역삼2동,11680650
창덕여자고등학교,서울 송파구 양재대로 1240,37.5001856,127.1185973,가락본동,11710620
창동고등학교,서울 도봉구 노해로62길 7,37.64893,127.03798,창1동,11320511
창문여자고등학교,서울 강북구 월계로 61,37.6217,127.04593,번3동,11305608
청담고등학교,서울 강남구 압구정로 419,37.5219841,127.0183177,신사동,11680510
청량고등학교,서울 동대문구 왕산로 303,37.58845475,127.0505553,청량리동,11230705
청량정보고등학교,서울 동대문구 답십리로15길 32,37.57783805,127.0475714,전농1동,11230560
청암중고등학교,서울 노원구 중계로 244,37.6375119,127.0812442,하계1동,11350611
청원고등학교,서울 노원구 한글비석로 506,37.6335072,127.064282,하계2동,11350612
청원여자고등학교,서울 노원구 한글비석로 506,37.6335072,127.064282,하계2동,11350612
충암고등학교,서울 은평구 가좌로5길 5,37.5862196,126.9213403,응암3동,11380600
태릉고등학교,서울 중랑구 신내로23길 36,37.6187544,127.0865942,묵1동,11260620
풍문고등학교,서울 강남구 자곡로 152,37.4694739,127.0917658,세곡동,11680700
하나고등학교,서울 은평구 연서로 535,37.6413738,126.9369373,진관동,11380690
한가람고등학교,서울 양천구 목동서로 15,37.5374007,126.8840505,목5동,11470550
한강미디어고등학교,서울 영등포구 선유로55길 22,37.5384567,126.8968893,양평2동,11560620
한광고등학교,서울 강서구 등촌로13길 110,37.5379589,126.8584522,화곡4동,11500570
