facility_nm,mng_agency_nm,gugun,reference_date,lat,lng,instt_code,last_load_dttm
늘사랑요양병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.0685972,128.9772437,,2023-07-01 5:30
늘푸른노인전문요양센터,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.10051666,128.9926954,,2023-07-01 5:30
늘행복요양병원,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.12810385,128.9736904,,2023-07-01 5:30
다누리센터 공영부설주차장,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.14738137,128.995023,,2023-07-01 5:30
다누림어린이집,,,,부산 사상구 가야대로196번길 51,,,
다대도서관,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.05042627,128.9646733,,2023-07-01 5:30
다대수병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09939255,128.9835344,,2023-07-01 5:30
다대씨파크 대규모점포,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.05514541,128.9719748,,2023-07-01 5:30
다대씨-파크 실내주차장,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.05514541,128.9719748,,2023-07-01 5:30
다대자연병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.10080887,128.9933351,,2023-07-01 5:30
다대자연병원 장례식장,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.0685972,128.9772437,,2023-07-01 5:30
