매장명,위도,경도
롯데갤러리움센텀,35.173552,129.182194
트럼프월드센텀2,35.173552,129.182194
해운대 비치 로데오아울렛 2차 (해운대 상설할인타운),35.17376,129.173282
KNN타워,35.173952,129.18114
바른길병원,35.174025,129.128418
미소요양병원,35.174147,129.173258
한신휴플러스 오피스텔,35.174228,129.126161
벡스코,35.174485,129.12779
신화하니엘타워,35.174626,129.127058
의료법인 세광의료재단 성모안과병원,35.174705,129.128009
양정삼성어린이집,35.1747949,129.0737388
세림어린이집,35.17484041,129.1006692
의료법인지석의료재단 효성프라임요양병원,35.17495985,128.9886828
해운대 그린나래호텔,35.175133,129.125056
소담어린이집,35.17555859,129.0940371
세종월드프라자,35.175654,129.126016
베스트웨스턴 해운대호텔,35.175683,129.131237
연지꿈동산어린이집,35.1758086,129.0537609
이마트연제점,35.17615076,129.0813103
이마트연제점,35.17615076,129.0813103
영주암어린이집,35.17625918,129.0992832
부산지방국세청,35.17680067,129.0781791
신세계백화점 센텀시티몰,35.17686,129.12544
상락정배산실버빌,35.17731533,129.0981227
시청센트빌,35.1773603,129.074114
국민연금관리공단 부산지사,35.17785982,129.0756461
연산병원,35.17809592,129.0945432
연산요양병원,35.17809592,129.0945432
사상도서관,35.17812993,128.9897944
홈플러스 센텀시티점,35.178165,129.177742
의료법인주현의료재단사상중앙병원,35.1784013,128.9782163
코스트코부산점,35.17850156,129.1152652
코스트코부산점 주차장,35.17850156,129.1152652
연제옥스퍼드어린이집,35.17948216,129.0654792
센텀리더스마크,35.180005,129.127735
참사랑노인건강센터,35.18002,128.95738
안심노인요양시설,35.181143,129.198055
제니스스퀘어,35.181143,129.198055
가족사랑요양병원,35.1815517,129.0468601
감로수요양병원,35.18166735,128.9924546
럭키랜드,35.18169264,129.1034516
연산당당한방병원,35.18180564,129.0839763
황산요양병원,35.18187644,129.0881383
태양어린이집,35.1819811,129.1093622
